date,product_id,product_name,units_sold,day_of_week,day_name,week_of_year,month
2025-08-01,P01,Beras Premium 5kg,16,4,Friday,31,8
2025-08-02,P01,Beras Premium 5kg,18,5,Saturday,31,8
2025-08-03,P01,Beras Premium 5kg,20,6,Sunday,31,8
2025-08-04,P01,Beras Premium 5kg,16,0,Monday,32,8
2025-08-05,P01,Beras Premium 5kg,20,1,Tuesday,32,8
2025-08-06,P01,Beras Premium 5kg,20,2,Wednesday,32,8
2025-08-07,P01,Beras Premium 5kg,17,3,Thursday,32,8
2025-08-08,P01,Beras Premium 5kg,19,4,Friday,32,8
2025-08-09,P01,Beras Premium 5kg,22,5,Saturday,32,8
2025-08-10,P01,Beras Premium 5kg,22,6,Sunday,32,8
2025-08-11,P01,Beras Premium 5kg,19,0,Monday,33,8
2025-08-12,P01,Beras Premium 5kg,18,1,Tuesday,33,8
2025-08-13,P01,Beras Premium 5kg,17,2,Wednesday,33,8
2025-08-14,P01,Beras Premium 5kg,17,3,Thursday,33,8
2025-08-15,P01,Beras Premium 5kg,20,4,Friday,33,8
2025-08-16,P01,Beras Premium 5kg,19,5,Saturday,33,8
2025-08-17,P01,Beras Premium 5kg,19,6,Sunday,33,8
2025-08-18,P01,Beras Premium 5kg,18,0,Monday,34,8
2025-08-19,P01,Beras Premium 5kg,16,1,Tuesday,34,8
2025-08-20,P01,Beras Premium 5kg,19,2,Wednesday,34,8
2025-08-21,P01,Beras Premium 5kg,19,3,Thursday,34,8
2025-08-22,P01,Beras Premium 5kg,20,4,Friday,34,8
2025-08-23,P01,Beras Premium 5kg,19,5,Saturday,34,8
2025-08-24,P01,Beras Premium 5kg,21,6,Sunday,34,8
2025-08-25,P01,Beras Premium 5kg,18,0,Monday,35,8
2025-08-26,P01,Beras Premium 5kg,19,1,Tuesday,35,8
2025-08-27,P01,Beras Premium 5kg,17,2,Wednesday,35,8
2025-08-28,P01,Beras Premium 5kg,17,3,Thursday,35,8
2025-08-29,P01,Beras Premium 5kg,18,4,Friday,35,8
2025-08-30,P01,Beras Premium 5kg,23,5,Saturday,35,8
2025-08-31,P01,Beras Premium 5kg,20,6,Sunday,35,8
2025-09-01,P01,Beras Premium 5kg,17,0,Monday,36,9
2025-09-02,P01,Beras Premium 5kg,16,1,Tuesday,36,9
2025-09-03,P01,Beras Premium 5kg,19,2,Wednesday,36,9
2025-09-04,P01,Beras Premium 5kg,19,3,Thursday,36,9
2025-09-05,P01,Beras Premium 5kg,18,4,Friday,36,9
2025-09-06,P01,Beras Premium 5kg,23,5,Saturday,36,9
2025-09-07,P01,Beras Premium 5kg,19,6,Sunday,36,9
2025-09-08,P01,Beras Premium 5kg,18,0,Monday,37,9
2025-09-09,P01,Beras Premium 5kg,20,1,Tuesday,37,9
2025-09-10,P01,Beras Premium 5kg,18,2,Wednesday,37,9
2025-09-11,P01,Beras Premium 5kg,20,3,Thursday,37,9
2025-09-12,P01,Beras Premium 5kg,20,4,Friday,37,9
2025-09-13,P01,Beras Premium 5kg,23,5,Saturday,37,9
2025-09-14,P01,Beras Premium 5kg,21,6,Sunday,37,9
2025-09-15,P01,Beras Premium 5kg,17,0,Monday,38,9
2025-09-16,P01,Beras Premium 5kg,19,1,Tuesday,38,9
2025-09-17,P01,Beras Premium 5kg,20,2,Wednesday,38,9
2025-09-18,P01,Beras Premium 5kg,20,3,Thursday,38,9
2025-09-19,P01,Beras Premium 5kg,20,4,Friday,38,9
2025-09-20,P01,Beras Premium 5kg,20,5,Saturday,38,9
2025-09-21,P01,Beras Premium 5kg,21,6,Sunday,38,9
2025-09-22,P01,Beras Premium 5kg,20,0,Monday,39,9
2025-09-23,P01,Beras Premium 5kg,17,1,Tuesday,39,9
2025-09-24,P01,Beras Premium 5kg,17,2,Wednesday,39,9
2025-09-25,P01,Beras Premium 5kg,19,3,Thursday,39,9
2025-09-26,P01,Beras Premium 5kg,18,4,Friday,39,9
2025-09-27,P01,Beras Premium 5kg,19,5,Saturday,39,9
2025-09-28,P01,Beras Premium 5kg,22,6,Sunday,39,9
2025-09-29,P01,Beras Premium 5kg,20,0,Monday,40,9
2025-09-30,P01,Beras Premium 5kg,19,1,Tuesday,40,9
2025-10-01,P01,Beras Premium 5kg,17,2,Wednesday,40,10
2025-10-02,P01,Beras Premium 5kg,18,3,Thursday,40,10
2025-10-03,P01,Beras Premium 5kg,17,4,Friday,40,10
2025-10-04,P01,Beras Premium 5kg,23,5,Saturday,40,10
2025-10-05,P01,Beras Premium 5kg,19,6,Sunday,40,10
2025-10-06,P01,Beras Premium 5kg,19,0,Monday,41,10
2025-10-07,P01,Beras Premium 5kg,17,1,Tuesday,41,10
2025-10-08,P01,Beras Premium 5kg,19,2,Wednesday,41,10
2025-10-09,P01,Beras Premium 5kg,20,3,Thursday,41,10
2025-10-10,P01,Beras Premium 5kg,16,4,Friday,41,10
2025-10-11,P01,Beras Premium 5kg,23,5,Saturday,41,10
2025-10-12,P01,Beras Premium 5kg,18,6,Sunday,41,10
2025-10-13,P01,Beras Premium 5kg,16,0,Monday,42,10
2025-10-14,P01,Beras Premium 5kg,19,1,Tuesday,42,10
2025-10-15,P01,Beras Premium 5kg,20,2,Wednesday,42,10
2025-10-16,P01,Beras Premium 5kg,19,3,Thursday,42,10
2025-10-17,P01,Beras Premium 5kg,19,4,Friday,42,10
2025-10-18,P01,Beras Premium 5kg,19,5,Saturday,42,10
2025-10-19,P01,Beras Premium 5kg,21,6,Sunday,42,10
2025-10-20,P01,Beras Premium 5kg,17,0,Monday,43,10
2025-10-21,P01,Beras Premium 5kg,20,1,Tuesday,43,10
2025-10-22,P01,Beras Premium 5kg,20,2,Wednesday,43,10
2025-10-23,P01,Beras Premium 5kg,20,3,Thursday,43,10
2025-10-24,P01,Beras Premium 5kg,16,4,Friday,43,10
2025-10-25,P01,Beras Premium 5kg,21,5,Saturday,43,10
2025-10-26,P01,Beras Premium 5kg,20,6,Sunday,43,10
2025-10-27,P01,Beras Premium 5kg,18,0,Monday,44,10
2025-10-28,P01,Beras Premium 5kg,19,1,Tuesday,44,10
2025-10-29,P01,Beras Premium 5kg,19,2,Wednesday,44,10
2025-10-30,P01,Beras Premium 5kg,20,3,Thursday,44,10
2025-10-31,P01,Beras Premium 5kg,17,4,Friday,44,10
2025-11-01,P01,Beras Premium 5kg,22,5,Saturday,44,11
2025-11-02,P01,Beras Premium 5kg,25,6,Sunday,44,11
2025-11-03,P01,Beras Premium 5kg,21,0,Monday,45,11
2025-11-04,P01,Beras Premium 5kg,21,1,Tuesday,45,11
2025-11-05,P01,Beras Premium 5kg,20,2,Wednesday,45,11
2025-11-06,P01,Beras Premium 5kg,22,3,Thursday,45,11
2025-11-07,P01,Beras Premium 5kg,22,4,Friday,45,11
2025-11-08,P01,Beras Premium 5kg,22,5,Saturday,45,11
2025-11-09,P01,Beras Premium 5kg,23,6,Sunday,45,11
2025-11-10,P01,Beras Premium 5kg,23,0,Monday,46,11
2025-11-11,P01,Beras Premium 5kg,22,1,Tuesday,46,11
2025-11-12,P01,Beras Premium 5kg,20,2,Wednesday,46,11
2025-11-13,P01,Beras Premium 5kg,21,3,Thursday,46,11
2025-11-14,P01,Beras Premium 5kg,22,4,Friday,46,11
2025-11-15,P01,Beras Premium 5kg,27,5,Saturday,46,11
2025-11-16,P01,Beras Premium 5kg,25,6,Sunday,46,11
2025-11-17,P01,Beras Premium 5kg,22,0,Monday,47,11
2025-11-18,P01,Beras Premium 5kg,21,1,Tuesday,47,11
2025-11-19,P01,Beras Premium 5kg,21,2,Wednesday,47,11
2025-11-20,P01,Beras Premium 5kg,21,3,Thursday,47,11
2025-11-21,P01,Beras Premium 5kg,19,4,Friday,47,11
2025-11-22,P01,Beras Premium 5kg,26,5,Saturday,47,11
2025-11-23,P01,Beras Premium 5kg,25,6,Sunday,47,11
2025-11-24,P01,Beras Premium 5kg,24,0,Monday,48,11
2025-11-25,P01,Beras Premium 5kg,20,1,Tuesday,48,11
2025-11-26,P01,Beras Premium 5kg,20,2,Wednesday,48,11
2025-11-27,P01,Beras Premium 5kg,23,3,Thursday,48,11
2025-11-28,P01,Beras Premium 5kg,24,4,Friday,48,11
2025-11-29,P01,Beras Premium 5kg,23,5,Saturday,48,11
2025-11-30,P01,Beras Premium 5kg,24,6,Sunday,48,11
2025-12-01,P01,Beras Premium 5kg,24,0,Monday,49,12
2025-12-02,P01,Beras Premium 5kg,19,1,Tuesday,49,12
2025-12-03,P01,Beras Premium 5kg,22,2,Wednesday,49,12
2025-12-04,P01,Beras Premium 5kg,23,3,Thursday,49,12
