date,product_id,product_name,units_sold
2025-08-01,P01,Beras Premium 5kg,16
2025-08-01,P02,Minyak Goreng 1L,14
2025-08-01,P03,Gula Pasir 1kg,12
2025-08-01,P04,Telur Ayam 1 Papan,18
2025-08-01,P05,Mie Instan 1 Dus,27
2025-08-02,P01,Beras Premium 5kg,18
2025-08-02,P02,Minyak Goreng 1L,17
2025-08-02,P03,Gula Pasir 1kg,13
2025-08-02,P04,Telur Ayam 1 Papan,25
2025-08-02,P05,Mie Instan 1 Dus,26
2025-08-03,P01,Beras Premium 5kg,20
2025-08-03,P02,Minyak Goreng 1L,17
2025-08-03,P03,Gula Pasir 1kg,13
2025-08-03,P04,Telur Ayam 1 Papan,20
2025-08-03,P05,Mie Instan 1 Dus,28
2025-08-04,P01,Beras Premium 5kg,16
2025-08-04,P02,Minyak Goreng 1L,15
2025-08-04,P03,Gula Pasir 1kg,11
2025-08-04,P04,Telur Ayam 1 Papan,19
2025-08-04,P05,Mie Instan 1 Dus,25
2025-08-05,P01,Beras Premium 5kg,20
2025-08-05,P02,Minyak Goreng 1L,14
2025-08-05,P03,Gula Pasir 1kg,11
2025-08-05,P04,Telur Ayam 1 Papan,21
2025-08-05,P05,Mie Instan 1 Dus,22
2025-08-06,P01,Beras Premium 5kg,20
2025-08-06,P02,Minyak Goreng 1L,15
2025-08-06,P03,Gula Pasir 1kg,11
2025-08-06,P04,Telur Ayam 1 Papan,22
2025-08-06,P05,Mie Instan 1 Dus,27
2025-08-07,P01,Beras Premium 5kg,17
2025-08-07,P02,Minyak Goreng 1L,16
2025-08-07,P03,Gula Pasir 1kg,11
2025-08-07,P04,Telur Ayam 1 Papan,21
2025-08-07,P05,Mie Instan 1 Dus,25
2025-08-08,P01,Beras Premium 5kg,19
2025-08-08,P02,Minyak Goreng 1L,14
2025-08-08,P03,Gula Pasir 1kg,12
2025-08-08,P04,Telur Ayam 1 Papan,21
2025-08-08,P05,Mie Instan 1 Dus,25
2025-08-09,P01,Beras Premium 5kg,22
2025-08-09,P02,Minyak Goreng 1L,18
2025-08-09,P03,Gula Pasir 1kg,14
2025-08-09,P04,Telur Ayam 1 Papan,25
2025-08-09,P05,Mie Instan 1 Dus,29
2025-08-10,P01,Beras Premium 5kg,22
2025-08-10,P02,Minyak Goreng 1L,17
2025-08-10,P03,Gula Pasir 1kg,12
2025-08-10,P04,Telur Ayam 1 Papan,24
2025-08-10,P05,Mie Instan 1 Dus,27
2025-08-11,P01,Beras Premium 5kg,19
2025-08-11,P02,Minyak Goreng 1L,17
2025-08-11,P03,Gula Pasir 1kg,12
2025-08-11,P04,Telur Ayam 1 Papan,18
2025-08-11,P05,Mie Instan 1 Dus,24
2025-08-12,P01,Beras Premium 5kg,18
2025-08-12,P02,Minyak Goreng 1L,13
2025-08-12,P03,Gula Pasir 1kg,12
2025-08-12,P04,Telur Ayam 1 Papan,20
2025-08-12,P05,Mie Instan 1 Dus,24
2025-08-13,P01,Beras Premium 5kg,17
2025-08-13,P02,Minyak Goreng 1L,14
2025-08-13,P03,Gula Pasir 1kg,12
2025-08-13,P04,Telur Ayam 1 Papan,18
2025-08-13,P05,Mie Instan 1 Dus,24
2025-08-14,P01,Beras Premium 5kg,17
2025-08-14,P02,Minyak Goreng 1L,15
2025-08-14,P03,Gula Pasir 1kg,13
2025-08-14,P04,Telur Ayam 1 Papan,22
2025-08-14,P05,Mie Instan 1 Dus,26
2025-08-15,P01,Beras Premium 5kg,20
2025-08-15,P02,Minyak Goreng 1L,17
2025-08-15,P03,Gula Pasir 1kg,12
2025-08-15,P04,Telur Ayam 1 Papan,19
2025-08-15,P05,Mie Instan 1 Dus,25
2025-08-16,P01,Beras Premium 5kg,19
2025-08-16,P02,Minyak Goreng 1L,19
2025-08-16,P03,Gula Pasir 1kg,14
2025-08-16,P04,Telur Ayam 1 Papan,24
2025-08-16,P05,Mie Instan 1 Dus,26
2025-08-17,P01,Beras Premium 5kg,19
2025-08-17,P02,Minyak Goreng 1L,16
2025-08-17,P03,Gula Pasir 1kg,13
2025-08-17,P04,Telur Ayam 1 Papan,22
2025-08-17,P05,Mie Instan 1 Dus,27
2025-08-18,P01,Beras Premium 5kg,18
2025-08-18,P02,Minyak Goreng 1L,15
2025-08-18,P03,Gula Pasir 1kg,11
2025-08-18,P04,Telur Ayam 1 Papan,18
2025-08-18,P05,Mie Instan 1 Dus,24
2025-08-19,P01,Beras Premium 5kg,16
2025-08-19,P02,Minyak Goreng 1L,15
2025-08-19,P03,Gula Pasir 1kg,11
2025-08-19,P04,Telur Ayam 1 Papan,20
2025-08-19,P05,Mie Instan 1 Dus,23
2025-08-20,P01,Beras Premium 5kg,19
2025-08-20,P02,Minyak Goreng 1L,15
2025-08-20,P03,Gula Pasir 1kg,13
2025-08-20,P04,Telur Ayam 1 Papan,19
2025-08-20,P05,Mie Instan 1 Dus,25
2025-08-21,P01,Beras Premium 5kg,19
2025-08-21,P02,Minyak Goreng 1L,14
2025-08-21,P03,Gula Pasir 1kg,12
2025-08-21,P04,Telur Ayam 1 Papan,21
2025-08-21,P05,Mie Instan 1 Dus,28
2025-08-22,P01,Beras Premium 5kg,20
2025-08-22,P02,Minyak Goreng 1L,15
2025-08-22,P03,Gula Pasir 1kg,13
2025-08-22,P04,Telur Ayam 1 Papan,21
2025-08-22,P05,Mie Instan 1 Dus,24
2025-08-23,P01,Beras Premium 5kg,19
2025-08-23,P02,Minyak Goreng 1L,16
2025-08-23,P03,Gula Pasir 1kg,15
2025-08-23,P04,Telur Ayam 1 Papan,21
2025-08-23,P05,Mie Instan 1 Dus,29
2025-08-24,P01,Beras Premium 5kg,21
2025-08-24,P02,Minyak Goreng 1L,16
2025-08-24,P03,Gula Pasir 1kg,14
2025-08-24,P04,Telur Ayam 1 Papan,25
2025-08-24,P05,Mie Instan 1 Dus,31
2025-08-25,P01,Beras Premium 5kg,18
2025-08-25,P02,Minyak Goreng 1L,14
2025-08-25,P03,Gula Pasir 1kg,13
2025-08-25,P04,Telur Ayam 1 Papan,20
2025-08-25,P05,Mie Instan 1 Dus,26
2025-08-26,P01,Beras Premium 5kg,19
2025-08-26,P02,Minyak Goreng 1L,15
2025-08-26,P03,Gula Pasir 1kg,11
2025-08-26,P04,Telur Ayam 1 Papan,18
2025-08-26,P05,Mie Instan 1 Dus,26
2025-08-27,P01,Beras Premium 5kg,17
2025-08-27,P02,Minyak Goreng 1L,16
2025-08-27,P03,Gula Pasir 1kg,13
2025-08-27,P04,Telur Ayam 1 Papan,22
2025-08-27,P05,Mie Instan 1 Dus,26
