supplier_id,order_date,estimated_delivery_date,actual_delivery_date
SUP-001,2026-07-01,2026-07-04,2026-07-04
SUP-001,2026-07-03,2026-07-06,2026-07-06
SUP-001,2026-07-05,2026-07-08,2026-07-09
SUP-001,2026-07-08,2026-07-11,2026-07-11
SUP-001,2026-07-10,2026-07-13,2026-07-13
SUP-001,2026-07-13,2026-07-16,2026-07-17
SUP-001,2026-07-15,2026-07-18,2026-07-18
SUP-001,2026-07-18,2026-07-21,2026-07-21
SUP-001,2026-07-20,2026-07-23,2026-07-23
SUP-001,2026-07-23,2026-07-26,2026-07-26
SUP-002,2026-07-01,2026-07-04,2026-07-07
SUP-002,2026-07-03,2026-07-06,2026-07-09
SUP-002,2026-07-05,2026-07-08,2026-07-08
SUP-002,2026-07-08,2026-07-11,2026-07-15
SUP-002,2026-07-10,2026-07-13,2026-07-17
SUP-002,2026-07-13,2026-07-16,2026-07-16
SUP-002,2026-07-15,2026-07-18,2026-07-22
SUP-002,2026-07-18,2026-07-21,2026-07-21
SUP-002,2026-07-20,2026-07-23,2026-07-27
SUP-002,2026-07-23,2026-07-26,2026-07-30
SUP-003,2026-07-01,2026-07-04,2026-07-04
SUP-003,2026-07-03,2026-07-06,2026-07-06
SUP-003,2026-07-05,2026-07-08,2026-07-08
SUP-003,2026-07-08,2026-07-11,2026-07-11
SUP-003,2026-07-10,2026-07-13,2026-07-14
SUP-003,2026-07-13,2026-07-16,2026-07-16
SUP-003,2026-07-15,2026-07-18,2026-07-18
SUP-003,2026-07-18,2026-07-21,2026-07-21
SUP-003,2026-07-20,2026-07-23,2026-07-23
SUP-003,2026-07-23,2026-07-26,2026-07-26
